draw_date,weekday,number_1,number_2,number_3,number_4,number_5,jackpot_text,jackpot_amount,rule_version,source_url
2022-09-22,Thursday,1,23,29,30,31,"$69,000",69000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-23,Friday,1,2,4,10,13,"$177,000",177000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-24,Saturday,5,8,15,28,32,"$321,000",321000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-25,Sunday,7,17,19,20,35,"$529,000",529000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-26,Monday,7,9,22,23,36,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-27,Tuesday,12,13,18,22,23,"$72,000",72000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-28,Wednesday,18,26,31,32,37,"$70,000",70000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-29,Thursday,2,23,34,36,38,"$169,000",169000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-30,Friday,1,9,19,33,37,"$80,000",80000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-01,Saturday,9,11,16,25,30,"$187,000",187000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-02,Sunday,7,8,21,37,38,"$66,000",66000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-03,Monday,1,2,3,14,35,"$68,000",68000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-04,Tuesday,11,16,23,31,38,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-05,Wednesday,6,15,27,35,37,"$172,000",172000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-06,Thursday,1,7,16,31,35,"$72,000",72000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-07,Friday,4,6,14,33,38,"$182,000",182000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-08,Saturday,5,9,11,21,36,"$78,000",78000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-09,Sunday,1,18,33,35,37,"$173,000",173000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-10,Monday,1,3,23,25,27,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-11,Tuesday,2,26,27,29,37,"$70,000",70000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-12,Wednesday,1,2,6,8,15,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-13,Thursday,19,23,28,35,37,"$69,000",69000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-14,Friday,3,6,18,31,38,"$175,000",175000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-15,Saturday,21,22,31,34,37,"$314,000",314000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-16,Sunday,2,12,18,21,29,"$66,000",66000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-17,Monday,3,13,19,35,39,"$159,000",159000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-18,Tuesday,6,9,16,24,27,"$74,000",74000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-19,Wednesday,1,3,5,18,20,"$73,000",73000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-20,Thursday,8,11,15,27,31,"$69,000",69000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-21,Friday,6,8,12,19,21,"$80,000",80000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-22,Saturday,12,24,31,35,37,"$78,000",78000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-23,Sunday,1,5,10,19,38,"$61,000",61000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-24,Monday,12,19,32,34,35,"$153,000",153000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-25,Tuesday,19,20,29,31,36,"$74,000",74000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-26,Wednesday,5,9,18,19,28,"$72,000",72000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-27,Thursday,4,14,21,26,34,"$67,000",67000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-28,Friday,1,3,27,29,32,"$172,000",172000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-29,Saturday,5,20,23,26,39,"$308,000",308000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-30,Sunday,4,12,21,33,36,"$64,000",64000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-10-31,Monday,1,9,18,24,37,"$158,000",158000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-01,Tuesday,3,11,26,29,37,"$324,000",324000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-02,Wednesday,10,14,16,27,33,"$74,000",74000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-03,Thursday,1,9,20,29,30,"$70,000",70000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-04,Friday,1,2,3,35,36,"$183,000",183000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-05,Saturday,2,4,5,9,36,"$76,000",76000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-06,Sunday,3,6,7,22,24,"$64,000",64000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-07,Monday,1,8,15,22,34,"$164,000",164000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-08,Tuesday,3,10,29,36,39,"$335,000",335000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-09,Wednesday,2,7,9,10,11,"$74,000",74000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-10,Thursday,1,20,23,34,39,"$67,000",67000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-11,Friday,8,10,14,23,39,"$179,000",179000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-12,Saturday,6,13,21,30,31,"$329,000",329000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-13,Sunday,16,17,23,27,37,"$547,000",547000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-14,Monday,2,6,7,11,28,"$926,000",926000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-15,Tuesday,5,8,16,25,33,"$87,000",87000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-16,Wednesday,7,9,11,31,39,"$197,000",197000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-17,Thursday,10,19,29,32,38,"$67,000",67000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-18,Friday,17,23,26,29,30,"$79,000",79000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-19,Saturday,11,24,28,36,37,"$189,000",189000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-20,Sunday,4,19,32,36,39,"$62,000",62000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-21,Monday,10,15,18,26,28,"$161,000",161000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-22,Tuesday,8,10,24,38,39,"$70,000",70000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-23,Wednesday,18,20,29,31,32,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-24,Thursday,14,21,25,29,35,"$179,000",179000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-25,Friday,8,24,26,37,39,"$324,000",324000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-26,Saturday,18,25,29,33,35,"$79,000",79000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-27,Sunday,4,5,18,19,23,"$62,000",62000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-28,Monday,12,25,27,35,38,"$67,000",67000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-29,Tuesday,2,8,11,25,33,"$68,122",68122,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-11-30,Wednesday,8,9,11,12,25,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-01,Thursday,15,17,19,22,26,"$171,000",171000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-02,Friday,9,10,15,19,34,"$77,000",77000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-03,Saturday,4,7,14,27,38,"$75,000",75000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-04,Sunday,8,9,19,29,38,"$61,000",61000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-05,Monday,2,3,17,35,38,"$157,000",157000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-06,Tuesday,1,4,10,29,36,"$309,000",309000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
